"","X1","LowestRisk"
"295",40027,0
"296",45129,0
"297",52041,1
"298",42263,1
"299",31900,0
"300",54335,0
"301",54097,0
"302",14233,0
"303",36962,0
"304",19999,1
"305",50505,0
"306",19949,0
"307",1391,1
"308",37305,1
"309",42148,0
"310",51514,1
"311",53410,0
"312",10191,1
"313",39567,0
"314",29700,1
"315",23095,0
"316",37932,1
"317",30161,1
"318",13236,1
"319",19646,1
"320",40758,0
"321",56843,1
"322",14612,0
"323",22427,1
"324",58950,0
"325",11713,0
"326",41951,1
"327",10102,0
"328",50637,0
"329",51399,1
"330",53833,1
"331",35628,0
"332",33156,0
"333",21474,0
"334",31264,0
"335",38468,0
"336",2294,1
"337",39636,0
"338",53683,1
"339",53444,0
"340",46597,1
"341",51653,1
"342",7290,0
"343",57412,0
"344",5700,0
"345",45883,1
"346",27549,0
"347",38969,0
"348",53564,1
"349",26163,0
"350",53504,1
"351",50881,1
"352",41240,0
"353",55514,1
"354",34357,1
"355",46957,0
"356",19554,0
"357",30096,1
"358",48023,0
"359",55383,1
"360",42990,1
"361",30928,1
"362",33848,0
"363",15582,1
"364",48148,1
"365",47158,1
"366",36218,0
"367",6179,0
"368",40018,1
"369",57932,1
"370",39805,0
"371",34119,1
"372",37135,0
"373",795,0
"374",7173,1
"375",55427,0
"376",45841,1
"377",43745,0
"378",22251,1
"379",23718,0
"380",27851,0
"381",30943,1
"382",37380,1
"383",39250,0
"384",15908,0
"385",49151,0
"386",59306,0
"387",15686,1
"388",22319,1
"389",14074,0
"390",37414,0
"391",922,0
"392",37917,0
"393",23903,1
"394",22049,0
"395",34862,0
"396",30064,0
"397",54484,1
"398",55328,1
"400",36086,1
"401",20356,1
"402",3675,0
"403",23872,1
"404",17624,0
"405",29312,0
"406",49549,1
"407",53352,0
"408",51655,1
"409",24140,0
"410",5359,0
"411",7369,0
"412",21560,0
"413",48869,0
"414",31507,1
"415",20486,0
"416",41131,1
"417",50678,0
"418",32471,0
"419",2361,0
"420",27434,0
"421",27797,1
"422",12556,0
"423",17293,1
"424",35687,0
"426",41987,0
"427",3061,1
"428",58649,0
"429",38822,0
"430",55924,0
"431",34731,0
"432",33657,1
"433",35729,0
"434",16948,1
"435",38242,1
"436",44410,0
"437",8214,0
"438",11397,0
"439",32363,0
"440",4498,1
"441",32141,0
"442",18218,0
"444",31500,1
"445",5927,1
"446",1093,0
"447",48868,0
"448",59288,1
"450",24341,0
"451",15026,0
"452",47325,0
"453",1844,0
"454",52889,0
"455",45314,0
"456",27118,0
"457",33941,1
"458",20733,1
"460",37639,1
"461",39752,0
"462",37141,1
"463",35742,0
"464",1367,0
"465",49864,0
"466",29652,0
"467",29286,1
"468",18432,0
"469",19094,0
"470",19015,0
"471",42359,0
"472",22767,0
"473",32865,0
"474",26281,1
"475",32767,0
"476",19074,1
"477",33119,0
"478",21240,0
"479",29105,0
"480",36894,0
"481",49027,1
"482",14732,0
"484",27423,1
"485",40436,0
"486",48342,0
"487",8917,0
"488",568,0
"489",41826,0
"490",38381,0
"491",10581,0
"492",22421,1
"493",10270,0
"494",7449,0
"495",9984,1
"496",40661,0
"497",50806,0
"498",33359,0
"499",53331,0
"500",58521,1
"501",23557,1
"502",41631,0
"503",50326,1
"504",5946,1
"505",7837,1
"506",20344,1
"507",3640,0
"508",41144,0
"509",17374,1
"510",21079,0
"511",40728,0
"512",49461,1
"513",47649,1
"514",33253,0
"515",53917,1
"516",26349,0
"517",6158,0
"518",42311,1
"519",51391,0
"520",49820,0
"521",46290,1
"522",907,0
"523",58142,1
"524",40571,0
"525",27170,0
"526",20497,1
"527",1986,1
"528",50875,1
"529",32315,0
"530",48914,1
"531",13315,0
"532",15438,0
"533",12586,1
"534",25954,1
"535",7803,0
"536",14759,0
"537",5480,0
"538",53288,0
"539",53202,0
"540",44557,0
"541",7227,1
"542",23604,0
"543",1978,1
"544",19698,0
"545",10003,0
"546",10371,0
"547",16068,0
"548",3614,0
"549",15645,0
"550",26824,1
"551",22868,1
"552",53243,0
"553",4701,0
"554",3964,1
"555",51647,0
"556",31253,0
"557",27458,1
"558",25431,1
"559",9839,0
"560",13498,1
"561",56652,0
"562",32538,0
"563",8724,1
"564",7983,1
"565",42889,1
"566",13720,0
"567",35462,0
"568",5358,0
"569",48335,0
"571",36301,1
"572",9629,1
"573",32531,1
"574",42315,0
"575",24826,0
"576",6088,0
"578",28546,0
"579",43099,0
"580",49324,0
"581",37203,1
"582",35840,0
"583",27448,0
"584",37493,1
"585",49986,0
"586",46478,0
"587",23161,1
"588",26933,0
"589",59009,0
"590",8742,1
"591",17057,1
"592",41147,0
"593",47043,0
"594",14812,1
"595",58634,0
"596",37360,1
"597",3487,0
"598",42588,0
"599",48772,1
"600",25098,0
"601",46215,1
"602",27053,1
"603",46906,1
"604",56872,0
"605",11527,1
"606",49631,0
"607",12047,1
"608",44157,1
"609",49770,1
"610",46583,1
"611",45324,0
"612",53252,0
"613",36903,0
"614",7341,1
"615",8211,1
"616",17258,0
"617",35880,0
"618",1255,0
"619",59087,1
"620",48309,1
"621",9086,0
"622",41974,1
"623",19761,0
"624",53678,0
"625",17435,0
"626",27501,1
"627",10332,0
"628",17972,0
"629",53766,0
"630",10795,0
"631",31398,1
"632",5928,0
"633",50831,0
"635",20714,0
"636",28437,1
"637",24289,0
"638",44838,0
"639",38001,1
"640",28907,1
"641",1673,0
"642",20198,0
"643",7018,1
"644",55619,0
"645",52076,0
"646",33957,0
"647",30465,0
"648",21418,0
"649",28062,0
"650",2825,1
"651",8024,0
"652",47551,0
"653",46870,1
"654",14821,1
"655",22792,0
"656",54726,1
"657",26199,1
"658",13328,0
"659",40860,0
"660",25440,0
"661",57743,0
"662",37875,0
"663",56162,0
"664",58377,1
"665",7211,1
"666",56252,1
"667",1340,0
"668",853,0
"669",4801,1
"670",13872,1
"671",48619,0
"672",46447,0
"673",32752,0
"674",46599,0
"675",45625,0
"676",14944,0
"677",4204,0
"678",7734,1
"679",11109,1
"680",46677,0
"681",23982,1
"682",18379,0
"683",261,0
"684",55900,0
"685",19620,0
"686",55706,0
"687",5140,0
"688",30020,0
"689",15230,0
"690",1131,0
"691",52175,0
"692",2965,1
"693",9166,0
"694",50939,1
"695",43412,1
"696",52980,0
"697",9731,1
"698",14028,0
"699",43181,0
"700",25444,0
"701",38534,1
"702",48546,1
"703",2563,0
"704",18551,0
"705",3819,1
"706",35552,0
"707",13175,1
"708",13096,0
"709",55330,0
"710",51733,1
"711",54474,0
"712",51962,1
"713",18082,1
"714",16274,0
"715",34933,0
"716",44844,0
"717",47424,0
"718",47085,0
"719",18229,1
"720",43129,0
"721",48954,0
"722",46869,0
"723",27649,1
"724",32812,1
"725",51894,0
"726",53695,0
"727",40067,1
"728",36071,0
"729",12700,1
"730",11056,0
"731",52794,1
"732",3951,1
"733",42135,0
"735",31735,0
"736",50056,0
"737",8424,0
"738",37437,1
"739",5211,1
"740",50553,0
"741",33273,0
"742",6404,1
"743",53177,0
"744",17410,1
"745",55027,0
"746",5780,0
"747",13579,0
"748",15617,1
"749",45279,0
"750",51583,0
"751",1164,1
"752",9512,0
"753",28700,0
"754",5204,0
"755",59202,0
"756",42689,0
"757",20701,1
"758",56194,0
"759",17285,0
"760",20102,1
"761",10942,0
"762",707,0
"763",13549,0
"764",17772,0
"765",27274,1
"766",28192,0
"767",55373,0
"768",30018,0
"769",19032,1
"770",12934,0
"771",19013,0
"772",50980,0
"773",42080,1
"774",24022,1
"775",8940,0
"776",53242,0
"777",30773,0
"778",58880,0
"779",5112,1
"780",32611,1
"781",36922,1
"782",33367,0
"783",40378,0
"784",26373,0
"786",28977,0
"787",12508,1
"788",56140,1
"789",49047,0
"790",12773,0
"791",59252,0
"792",30531,0
"793",50038,1
"794",40664,0
"795",35853,0
"796",57912,0
"797",29187,1
"798",11665,0
"799",828,1
"800",42266,0
"801",1144,1
"802",9721,0
"803",55875,0
"804",57816,1
"805",55616,0
"806",32469,0
"807",57509,0
"808",26546,0
"809",22228,0
"810",2314,0
"811",29859,1
"812",11116,1
"813",19107,1
"814",20133,1
"815",41124,0
"816",49361,0
"817",39952,0
"818",23891,0
"819",15298,1
"820",47987,0
"821",3582,1
"822",51177,1
"823",19952,0
"824",10843,0
"825",58134,0
"826",10341,1
"828",16789,1
"829",53589,1
"830",18507,1
"831",5795,1
"832",54931,1
"833",17544,1
"834",38134,1
"835",50377,0
"836",24344,0
"837",19850,1
"838",4562,1
"839",56288,0
"840",17801,0
"841",41769,0
"842",5583,0
"843",21132,1
"844",1717,1
"845",15652,0
"846",24196,0
"847",12201,0
"848",23136,1
"849",12033,0
"850",3850,1
"851",31999,0
"852",31149,0
"853",26057,0
"854",13605,0
"855",14559,0
"856",19944,1
"857",49958,1
"858",11261,0
"859",40711,1
"860",11614,1
"861",24154,1
"862",14197,0
"863",5981,0
"864",31821,0
"865",31872,0
"866",15001,1
"867",56575,0
"868",35490,0
"869",49133,1
"870",37769,0
"871",54894,0
"872",11748,1
"873",10499,0
"874",27792,0
"875",14353,0
"876",50044,1
"877",9486,1
"878",33214,0
"879",26240,0
"880",11521,0
"881",46379,0
"882",41812,0
"883",50206,1
"884",2238,1
"885",30931,1
"886",24636,1
"887",10815,0
"888",12116,1
"889",24623,1
"890",2731,0
"891",39859,1
"892",42937,0
"893",34837,0
"894",20290,0
"895",35088,0
"896",6376,0
"897",46738,1
"898",15706,0
"899",23260,0
"900",23623,1
"901",8302,0
"902",44475,1
"903",46800,1
"904",20232,1
"905",22204,1
"906",2435,1
"907",29149,1
"908",51850,0
"909",37175,0
"910",45538,0
"911",14123,1
"912",39251,0
"913",3908,1
"914",23753,1
"915",8572,0
"916",7392,1
"917",26816,1
"918",30815,1
"919",17589,1
"920",39357,0
"921",28152,0
"922",19758,1
"923",56370,0
"924",37254,1
"926",8678,1
"927",46154,1
"928",8123,0
"929",52100,1
"930",46408,0
"931",48876,0
"932",50918,0
"933",22560,1
"934",38575,0
"936",41033,1
"937",40347,1
"938",38460,0
"939",11969,0
"940",8349,1
"941",20916,1
"942",45735,0
"943",19557,1
"944",12601,0
"945",39289,0
"947",47470,0
"948",33729,1
"949",36994,1
"950",14149,1
"951",40305,0
"952",31730,0
"953",22965,1
"954",43982,0
"955",27486,1
"956",17509,0
"957",41052,1
"958",58580,0
"959",25406,0
"960",18441,0
"962",2606,0
"963",55448,0
"964",42331,1
"966",4387,0
"967",34895,0
"968",34541,1
"969",34680,1
"970",13867,0
"971",49178,0
"972",57067,0
"973",23053,0
"974",51443,0
"975",39628,0
"976",15848,1
"977",11208,1
"978",58062,0
"979",43038,0
"980",1141,0
"981",21686,0
"982",23364,0
"983",38446,1
"984",13359,0
"985",2798,0
"986",55852,1
"987",36358,0
"988",12496,0
"989",20031,0
"990",18649,1
"991",33496,1
"992",53283,0
"993",16996,0
"994",58052,0
"995",31949,1
"996",13838,0
"997",54883,0
"998",54550,0
"999",11134,0
"1000",52026,0
"1001",28026,1
"1002",12321,0
"1003",19828,1
"1004",25676,1
"1005",11489,1
"1006",14781,0
"1007",7174,0
"1008",52551,0
"1009",32803,1
"1010",10692,1
"1011",49017,0
"1012",2240,0
"1013",26308,0
"1014",48502,0
"1015",43272,1
"1016",5806,1
"1017",43750,0
"1018",11179,1
"1019",17857,1
"1020",4564,0
"1021",30306,0
"1023",54444,0
"1024",16771,1
"1025",45485,0
"1026",11905,1
"1027",23479,0
"1028",21791,0
"1029",14258,0
"1030",14787,1
"1031",8874,1
"1032",6588,0
"1033",41463,0
"1034",6924,1
"1035",30151,1
"1036",25589,1
"1037",54560,0
"1038",30705,0
"1040",14397,1
"1041",20577,1
"1042",26642,1
"1043",38375,0
"1044",39261,0
"1045",53819,0
"1046",56206,1
"1048",26314,0
"1049",46634,1
"1050",34984,1
"1051",48483,0
"1052",6270,0
"1053",54336,0
"1054",11022,0
"1055",14018,0
"1056",29686,1
"1057",13083,0
"1058",13774,0
"1059",47721,0
"1060",23160,0
"1061",50849,1
"1062",31805,1
"1063",45258,1
"1064",32441,0
"1066",7695,0
"1067",39851,0
"1069",57839,1
"1070",15260,0
"1071",4619,0
"1072",48272,0
"1073",22804,0
"1074",53588,0
"1075",19592,1
"1076",4319,0
"1077",42082,1
"1078",24926,0
"1079",47140,0
"1080",20278,1
"1081",7000,1
"1082",50919,0
"1083",10799,0
"1084",49541,1
"1085",32590,1
"1086",24708,0
"1087",17157,0
"1088",20192,1
"1089",17833,0
"1090",29528,0
"1091",26084,0
"1092",40521,0
"1093",20685,1
"1094",17827,1
"1095",58194,0
"1096",2342,0
"1097",28293,0
"1098",14003,0
"1099",43304,0
"1100",32688,1
"1101",16012,0
"1102",589,0
"1103",12094,0
"1104",54532,0
"1105",24250,0
"1106",6363,0
"1107",15324,0
"1108",47747,0
"1109",52291,0
"1110",15632,0
"1111",38711,0
"1112",26688,0
"1113",862,1
"1114",4366,1
"1115",3748,0
"1116",46470,1
"1117",18383,1
"1118",7812,0
"1119",2860,0
"1120",1998,1
"1121",38643,0
"1122",23807,1
"1123",9222,0
"1124",16161,1
"1126",4424,0
"1127",45081,1
"1128",48423,0
"1129",41093,0
"1130",33557,1
"1131",43557,0
"1132",55632,0
"1133",54407,1
"1134",7135,1
"1135",29803,1
"1136",34829,1
"1137",11639,0
"1138",31627,0
"1140",48182,0
"1141",50891,0
"1142",50164,0
"1143",58215,0
"1144",49550,1
"1145",3729,1
"1146",14929,0
"1147",9400,1
"1148",25268,0
"1149",10970,0
"1150",38191,0
"1151",10039,0
"1152",50225,0
"1153",35857,1
"1154",14158,0
"1155",53128,1
"1156",30087,0
"1157",8746,0
"1158",6034,0
"1159",31967,1
"1160",989,1
"1161",14932,0
"1162",32828,0
"1163",39840,1
"1164",23044,1
"1165",3287,1
"1166",39858,0
"1167",16277,0
"1168",44167,1
"1169",21709,0
"1170",49519,1
"1171",33116,1
"1172",19692,0
"1173",53742,1
"1174",24476,0
"1175",44263,0
"1176",6149,1
"1177",18766,0
"1178",24461,0
"1180",4549,0
"1181",9108,0
"1182",33580,1
"1183",39597,0
"1184",38621,0
"1185",56332,0
"1186",36790,0
"1187",20832,0
"1188",16807,0
"1189",42477,0
"1190",58689,1
"1191",34222,1
"1192",43067,0
"1193",4316,0
"1194",27039,1
"1195",7183,0
"1196",30625,0
"1197",6762,0
"1198",13049,1
"1199",10610,1
"1200",36528,0
"1201",54971,0
"1202",34910,0
"1203",31679,0
"1204",26085,1
"1205",16921,0
"1206",6105,0
"1207",29389,1
"1209",11486,0
"1210",35953,0
"1211",54029,0
"1212",17094,0
"1213",40459,0
"1214",18941,0
"1215",25660,0
"1216",5308,0
"1217",29276,0
"1218",44859,0
"1219",49228,0
"1220",2862,1
"1221",10811,1
"1222",10410,1
"1223",11205,0
"1224",30789,1
"1225",48665,1
"1226",50149,1
"1227",9809,0
"1228",31365,0
"1229",13350,1
"1230",36225,0
"1231",22115,1
"1232",35919,0
"1233",31665,0
"1234",40276,1
"1235",2266,1
"1236",4851,0
"1237",47981,0
"1238",48512,0
"1239",50864,0
"1240",45156,0
"1241",46748,0
"1242",34127,0
"1243",12206,1
"1244",38279,0
"1245",57322,0
"1246",56034,1
"1247",25742,0
"1248",3895,0
"1249",33752,0
"1250",49862,0
"1251",6786,0
"1252",48624,1
"1253",55660,0
"1254",27758,0
"1255",39895,0
"1256",47533,0
"1257",30083,0
"1258",57548,0
"1259",28491,1
"1260",21987,0
"1261",55451,1
"1262",35232,0
"1263",32260,1
"1264",24533,0
"1265",17794,0
"1266",9169,1
"1267",15964,0
"1268",7763,0
"1269",56690,0
"1270",48626,0
"1271",9143,0
"1272",12052,0
"1273",40228,0
"1274",57065,0
"1275",34427,1
"1276",43934,0
"1277",32035,1
"1278",28727,1
"1279",51982,1
"1280",39995,0
"1281",8065,0
"1282",50086,1
"1283",1937,0
"1284",55828,1
"1285",20337,1
"1286",17737,0
"1287",18956,0
"1288",51839,1
"1289",43511,1
"1290",4007,0
"1291",18194,0
"1292",28721,1
"1293",6906,1
"1294",58306,0
"1295",13057,0
"1296",29974,1
"1298",13255,1
"1299",59106,0
"1300",18556,0
"1301",46857,0
"1302",15087,0
"1303",35185,0
"1304",38919,0
"1305",52925,0
"1306",1072,0
"1307",52115,1
"1308",29898,1
"1309",34400,0
"1310",15668,1
"1311",47212,0
"1312",56302,1
"1313",8030,0
"1314",6091,1
"1315",27813,0
"1316",34765,0
"1317",20003,0
"1318",45628,1
"1319",4210,0
"1320",37400,0
"1322",52837,0
"1323",45614,1
"1324",32785,0
"1325",565,0
"1326",51612,0
"1327",38936,1
"1328",57929,0
"1329",58613,1
"1330",16337,0
"1331",40329,0
"1332",53625,0
"1333",38116,0
"1335",34998,1
"1336",52567,0
"1337",24653,0
"1338",34547,0
"1339",28484,0
"1340",40231,0
"1341",35286,0
"1342",39277,1
"1343",10544,1
"1344",46515,0
"1346",10215,1
"1347",57061,1
"1348",45015,1
"1349",57030,1
"1350",1308,0
"1351",58146,1
"1352",34306,0
"1354",34994,1
"1355",16198,0
"1356",56006,1
"1357",11408,0
"1358",39150,1
"1359",51257,0
"1360",25058,0
"1361",6227,1
"1362",47038,1
"1364",58832,0
"1365",50251,0
"1366",23720,0
"1367",50564,0
"1368",3260,1
"1369",57304,1
"1370",47189,0
"1371",1923,1
"1372",48168,1
"1373",54207,1
"1374",26405,0
"1375",33783,0
"1376",48280,1
"1377",4767,1
"1378",18636,1
"1379",13658,0
"1380",8236,1
"1381",36321,0
"1382",23798,0
"1383",11309,0
"1384",48652,0
"1385",21664,1
"1386",56714,0
"1387",16355,1
"1388",29942,0
"1389",15347,0
"1390",52196,1
"1391",36372,0
"1392",39181,1
"1393",7551,0
"1394",18048,0
"1395",31722,0
"1396",23100,0
"1397",15237,0
"1398",31827,1
"1399",38733,1
"1400",32787,0
"1401",4975,1
"1402",21167,1
"1403",1277,0
"1404",56544,1
"1405",15922,1
"1406",27545,1
"1407",24899,0
"1408",54653,1
"1409",37633,1
"1410",12062,1
"1411",42668,0
"1412",39596,1
"1413",19706,1
"1414",35368,0
"1415",17582,0
"1416",24619,1
"1418",41254,0
"1419",41080,1
"1420",18390,0
"1421",24932,0
"1422",53319,0
"1423",11035,0
"1424",46971,0
"1425",29083,1
"1426",32375,0
"1427",47025,1
"1428",45823,0
"1429",50288,1
"1430",5055,0
"1431",48830,1
"1432",52759,1
"1433",17426,0
"1434",17295,0
"1435",56578,1
"1436",41963,0
"1437",32745,1
"1438",42282,0
"1439",32751,0
"1440",46034,0
"1441",40124,1
"1442",43804,1
"1443",47229,1
"1444",23174,1
"1445",36544,0
"1446",19399,0
"1447",55251,0
"1448",40957,0
"1449",28046,1
"1450",4342,0
"1451",9411,0
"1452",39269,0
"1453",27468,0
"1454",8899,1
"1455",34504,0
"1456",3866,1
"1457",17643,1
"1458",14125,0
"1459",9438,0
"1460",49546,0
"1461",927,1
"1462",29520,0
"1463",47049,0
"1464",42334,1
"1465",8272,1
"1466",16242,0
"1467",48343,1
"1468",6727,0
"1469",55834,0
"1470",45100,0
"1471",46078,0
"1472",4883,0
"1473",14723,1
"1474",30602,0
"1475",18547,0
"1476",35540,0
"1477",28433,1
"1478",58684,0
"1479",43446,1
"1480",36765,0
"1481",41262,1
"1482",55165,0
"1483",53496,1
"1484",30459,0
"1485",39767,1
"1486",31273,1
"1487",25472,0
"1488",51228,0
"1489",32760,1
"1490",49853,0
"1491",6970,1
"1492",24098,0
"1493",23535,0
"1494",53271,0
"1495",40299,0
"1496",19465,1
"1497",19302,0
"1498",42108,0
"1499",2506,1
"1500",53866,0
"1501",5066,0
"1502",23795,1
"1503",38147,0
"1504",14086,1
"1505",21978,0
"1506",43555,0
"1507",49309,1
"1508",28451,1
"1509",28815,0
"1510",22995,0
"1511",6802,0
"1512",49411,0
"1513",37200,0
"1514",722,1
"1515",14190,0
"1516",53503,1
"1517",12437,1
"1518",41632,0
"1519",28543,0
"1520",6630,0
"1521",12263,0
"1522",592,0
"1523",47501,0
"1524",4,1
"1525",48655,0
"1526",8002,0
"1527",42428,0
"1528",56539,1
"1529",56361,0
"1530",15209,1
"1531",21999,1
"1532",47412,0
"1533",27194,1
"1534",39522,0
"1535",40818,0
"1536",22895,1
"1537",33994,0
"1538",4866,0
"1539",56170,1
"1540",30274,1
"1541",23959,1
"1542",46484,0
"1543",43072,0
"1544",44882,0
"1545",16414,0
"1546",55661,0
"1547",21014,0
"1548",14345,0
"1549",21282,0
"1550",12701,0
"1551",20995,0
"1552",17226,1
"1553",24707,1
"1554",30222,1
"1555",48304,0
"1556",35500,1
"1557",2899,0
"1558",34810,0
"1559",323,0
"1560",145,0
"1561",37235,1
"1562",12109,1
"1563",58822,1
"1564",51938,0
"1565",32144,1
"1566",170,0
"1567",5107,0
"1568",55127,0
"1569",28333,1
"1570",18240,1
"1571",7823,0
"1572",12862,1
"1573",2549,0
"1574",52510,0
"1575",18555,1
"1576",8941,0
"1577",35054,0
"1578",9773,1
"1579",4259,0
"1580",47814,0
"1581",43997,0
"1582",11302,0
"1583",27324,0
"1584",13483,0
"1585",19739,0
"1586",43431,0
"1587",18115,0
"1588",22814,0
"1589",21979,1
"1590",28193,1
"1591",33906,0
"1592",15818,0
"1593",23851,0
"1594",4693,0
"1595",46843,1
"1596",42583,0
"1597",12096,0
"1598",50843,0
"1599",53928,0
"1600",4372,1
"1601",53397,0
"1602",53293,0
"1603",22960,0
"1604",6509,1
"1605",48242,0
"1606",41776,1
"1607",1868,1
"1608",27750,0
"1609",34372,0
"1610",24508,0
"1611",31668,1
"1612",40598,1
"1613",54239,0
"1614",53477,0
"1615",12640,0
"1616",47643,0
"1617",34269,0
"1618",33784,0
"1619",50945,1
"1620",3515,0
"1621",47600,0
"1622",37945,0
"1623",13623,1
"1624",46977,0
"1625",43013,0
"1626",18362,1
"1627",59186,0
"1628",7521,1
"1629",38769,0
"1630",25614,0
"1631",31920,0
"1633",57726,0
"1634",55942,0
"1635",6364,0
"1636",57231,0
"1637",43276,1
"1638",58336,0
"1639",44957,0
"1640",44359,1
"1641",17327,0
"1642",2806,0
"1643",27495,0
"1644",15047,0
"1645",23079,0
"1646",43245,1
"1647",25152,0
"1648",29650,1
"1649",41624,0
"1650",30528,0
"1651",21094,0
"1652",54583,0
"1653",54616,1
"1654",49723,0
"1655",49767,0
"1656",6352,0
"1657",49219,0
"1658",32998,0
"1659",12199,0
"1660",33126,1
"1662",57907,0
"1663",1252,1
"1664",31304,1
"1665",12100,1
"1666",36764,1
"1667",10370,0
"1668",13818,0
"1669",11015,1
"1670",57540,0
"1671",40702,0
"1672",24709,0
"1673",6131,1
"1674",49279,0
"1675",667,0
"1676",9720,0
"1677",54835,0
"1678",48752,0
"1679",46453,0
"1680",34035,0
"1681",13627,0
"1682",42167,1
"1683",32413,0
"1684",20,1
"1685",10283,1
"1686",35701,1
"1687",50414,0
"1688",55973,1
"1689",25366,0
"1690",15468,1
"1691",51561,0
"1692",32958,1
"1694",22343,1
"1695",36596,1
"1696",28457,0
"1697",16036,1
"1698",57300,0
"1699",33466,0
"1700",38361,1
"1701",13860,0
"1703",2670,1
"1704",31733,1
"1705",22695,0
"1706",13261,1
"1707",41910,0
"1708",43087,0
